tconst	imdb_id	primaryTitle	startYear	averageRating	numVotes
tt0119698	119698	Princess Mononoke	1997	8.3	432397
tt0369339	369339	Collateral	2004	7.5	432318
tt1399103	1399103	Transformers: Dark of the Moon	2011	6.2	431352
tt1302006	1302006	The Irishman	2019	7.8	429964
tt0119174	119174	The Game	1997	7.7	428207
tt0032138	32138	The Wizard of Oz	1939	8.1	427734
tt1055369	1055369	Transformers: Revenge of the Fallen	2009	6.0	427689
tt0363771	363771	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	6.9	427221
tt0086879	86879	Amadeus	1984	8.4	426813
tt0052357	52357	Vertigo	1958	8.3	425987
tt1690953	1690953	Despicable Me 2	2013	7.3	425157
tt3480822	3480822	Black Widow	2021	6.7	424732
tt6146586	6146586	John Wick: Chapter 3 - Parabellum	2019	7.4	424384
tt12593682	12593682	Bullet Train	2022	7.3	423720
tt6264654	6264654	Free Guy	2021	7.1	423455
tt0099674	99674	The Godfather Part III	1990	7.6	423220
tt0265086	265086	Black Hawk Down	2001	7.7	422678
tt0079470	79470	Life of Brian	1979	8.0	421397
tt0337978	337978	Live Free or Die Hard	2007	7.1	420265
tt1060277	1060277	Cloverfield	2008	7.0	419885
tt0110475	110475	The Mask	1994	6.9	419230
tt0455944	455944	The Equalizer	2014	7.2	418700
tt0232500	232500	The Fast and the Furious	2001	6.8	418564
tt1517451	1517451	A Star Is Born	2018	7.6	418348
tt0181852	181852	Terminator 3: Rise of the Machines	2003	6.3	418005
tt1282140	1282140	Easy A	2010	7.0	417009
tt1905041	1905041	Fast & Furious 6	2013	7.0	416185
tt0840361	840361	The Town	2010	7.5	414865
tt0361862	361862	The Machinist	2004	7.6	414816
tt2820852	2820852	Furious 7	2015	7.1	414067
tt0349903	349903	Ocean's Twelve	2004	6.5	413410
tt0109686	109686	Dumb and Dumber	1994	7.3	411037
tt2381249	2381249	Mission: Impossible - Rogue Nation	2015	7.4	410173
tt0405094	405094	The Lives of Others	2006	8.4	409409
tt0493464	493464	Wanted	2008	6.7	407941
tt6334354	6334354	The Suicide Squad	2021	7.2	407888
tt0112864	112864	Die Hard with a Vengeance	1995	7.6	407561
tt1596343	1596343	Fast Five	2011	7.3	406453
tt2294449	2294449	22 Jump Street	2014	7.0	405215
tt0096895	96895	Batman	1989	7.5	403436
tt0120912	120912	Men in Black II	2002	6.2	402754
tt0104431	104431	Home Alone 2: Lost in New York	1992	6.9	401810
tt0118971	118971	The Devil's Advocate	1997	7.5	400992
tt8772262	8772262	Midsommar	2019	7.1	400760
tt1542344	1542344	127 Hours	2010	7.5	400658
tt2582846	2582846	The Fault in Our Stars	2014	7.7	400485
tt0119094	119094	Face/Off	1997	7.3	400141
tt1587310	1587310	Maleficent	2014	6.9	399533
tt10648342	10648342	Thor: Love and Thunder	2022	6.2	399193
tt1190080	1190080	2012	2009	5.8	397110
tt0454848	454848	Inside Man	2006	7.6	396809
tt8367814	8367814	The Gentlemen	2019	7.8	395635
tt1632708	1632708	Friends with Benefits	2011	6.5	393838
tt0230600	230600	The Others	2001	7.6	392504
tt0111257	111257	Speed	1994	7.3	391038
tt0317919	317919	Mission: Impossible III	2006	6.9	390058
tt9764362	9764362	The Menu	2022	7.2	389628
tt0443543	443543	The Illusionist	2006	7.5	389264
tt1453405	1453405	Monsters University	2013	7.2	389037
tt0328107	328107	Man on Fire	2004	7.7	388767
tt0964517	964517	The Fighter	2010	7.8	388317
tt1706620	1706620	Snowpiercer	2013	7.1	388237
tt0317740	317740	The Italian Job	2003	7.0	387952
